Overall
  Valid: 638596, Invalid Length: 4103, Invalid ASN: 2514, Not Found: 585915, VRPS seen: 319456, VRPS unseen: 223370, VRPS too permissive: 49190
IT: Valid: 4769, Invalid Length: 8, Invalid ASN: 3, Not Found: 3207, VRPS seen: 2946, VRPS unseen: 1080, VRPS too permissive: 779
JE: Valid: 16, Invalid Length: 0, Invalid ASN: 0, Not Found: 67, VRPS seen: 12, VRPS unseen: 8, VRPS too permissive: 4
JM: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 381, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
JO: Valid: 1041, Invalid Length: 0, Invalid ASN: 2, Not Found: 640, VRPS seen: 179, VRPS unseen: 74, VRPS too permissive: 21
JP: Valid: 5220, Invalid Length: 23, Invalid ASN: 4, Not Found: 6153, VRPS seen: 2869, VRPS unseen: 1309, VRPS too permissive: 1255
KE: Valid: 513, Invalid Length: 0, Invalid ASN: 0, Not Found: 1858, VRPS seen: 93, VRPS unseen: 47, VRPS too permissive: 44
KG: Valid: 288, Invalid Length: 0, Invalid ASN: 0, Not Found: 103, VRPS seen: 208, VRPS unseen: 2, VRPS too permissive: 14
KH: Valid: 1886, Invalid Length: 4, Invalid ASN: 0, Not Found: 92, VRPS seen: 705, VRPS unseen: 150, VRPS too permissive: 25
KI: Valid: 10, Invalid Length: 0, Invalid ASN: 0, Not Found: 5, VRPS seen: 4, VRPS unseen: 2, VRPS too permissive: 1
KM: Valid: 19, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 1, VRPS unseen: 0, VRPS too permissive: 2
KN: Valid: 5, Invalid Length: 0, Invalid ASN: 0, Not Found: 6, VRPS seen: 5, VRPS unseen: 6, VRPS too permissive: 0
KP: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 4, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
KR: Valid: 88, Invalid Length: 0, Invalid ASN: 1, Not Found: 24221, VRPS seen: 83, VRPS unseen: 84, VRPS too permissive: 3
KW: Valid: 1163, Invalid Length: 36, Invalid ASN: 24, Not Found: 889, VRPS seen: 861, VRPS unseen: 162, VRPS too permissive: 58
KY: Valid: 19, Invalid Length: 1, Invalid ASN: 0, Not Found: 13, VRPS seen: 7, VRPS unseen: 2, VRPS too permissive: 8
KZ: Valid: 1192, Invalid Length: 0, Invalid ASN: 0, Not Found: 2671, VRPS seen: 921, VRPS unseen: 147, VRPS too permissive: 58
LA: Valid: 304, Invalid Length: 0, Invalid ASN: 0, Not Found: 17, VRPS seen: 236, VRPS unseen: 27, VRPS too permissive: 1
LB: Valid: 1408, Invalid Length: 0, Invalid ASN: 0, Not Found: 37, VRPS seen: 1145, VRPS unseen: 463, VRPS too permissive: 41
LC: Valid: 9, Invalid Length: 0, Invalid ASN: 0, Not Found: 32, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 2
LI: Valid: 54, Invalid Length: 1, Invalid ASN: 0, Not Found: 9, VRPS seen: 49, VRPS unseen: 19, VRPS too permissive: 5
LK: Valid: 556, Invalid Length: 3, Invalid ASN: 1, Not Found: 8, VRPS seen: 261, VRPS unseen: 147, VRPS too permissive: 36
LR: Valid: 9, Invalid Length: 0, Invalid ASN: 0, Not Found: 71, VRPS seen: 5, VRPS unseen: 1, VRPS too permissive: 0
LS: Valid: 31, Invalid Length: 0, Invalid ASN: 0, Not Found: 43, VRPS seen: 3, VRPS unseen: 0, VRPS too permissive: 4
LT: Valid: 3013, Invalid Length: 2, Invalid ASN: 0, Not Found: 246, VRPS seen: 2063, VRPS unseen: 589, VRPS too permissive: 152
LU: Valid: 874, Invalid Length: 0, Invalid ASN: 0, Not Found: 556, VRPS seen: 691, VRPS unseen: 187, VRPS too permissive: 85
LV: Valid: 1034, Invalid Length: 1, Invalid ASN: 2, Not Found: 200, VRPS seen: 902, VRPS unseen: 269, VRPS too permissive: 99
LY: Valid: 363, Invalid Length: 0, Invalid ASN: 2, Not Found: 62, VRPS seen: 138, VRPS unseen: 83, VRPS too permissive: 19
MA: Valid: 235, Invalid Length: 0, Invalid ASN: 0, Not Found: 2075, VRPS seen: 33, VRPS unseen: 23, VRPS too permissive: 13
MC: Valid: 8, Invalid Length: 0, Invalid ASN: 0, Not Found: 10, VRPS seen: 2, VRPS unseen: 0, VRPS too permissive: 6
MD: Valid: 1453, Invalid Length: 0, Invalid ASN: 1, Not Found: 106, VRPS seen: 471, VRPS unseen: 285, VRPS too permissive: 137
ME: Valid: 128, Invalid Length: 0, Invalid ASN: 0, Not Found: 23, VRPS seen: 67, VRPS unseen: 22, VRPS too permissive: 10
MF: Valid: 9, Invalid Length: 0, Invalid ASN: 0, Not Found: 9, VRPS seen: 9, VRPS unseen: 35, VRPS too permissive: 0
MG: Valid: 161, Invalid Length: 0, Invalid ASN: 0, Not Found: 219, VRPS seen: 1, VRPS unseen: 4, VRPS too permissive: 7
MH: Valid: 14, Invalid Length: 0, Invalid ASN: 0, Not Found: 1, VRPS seen: 14, VRPS unseen: 2, VRPS too permissive: 0
